n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,paper,scissors,1,1,0,0,1.0,0.0,0.0,1,1.0
2,paper,scissors,1,2,0,0,1.0,0.0,0.0,2,1.0
3,rock,scissors,-1,2,0,1,0.67,0.0,0.33,1,0.33
4,scissors,scissors,0,2,1,1,0.5,0.25,0.25,1,0.25
5,rock,scissors,-1,2,1,2,0.4,0.2,0.4,0,0.0
6,paper,scissors,1,3,1,2,0.5,0.17,0.33,1,0.17
7,paper,scissors,1,4,1,2,0.57,0.14,0.29,2,0.29
8,scissors,scissors,0,4,2,2,0.5,0.25,0.25,2,0.25
9,paper,scissors,1,5,2,2,0.56,0.22,0.22,3,0.33
10,paper,scissors,1,6,2,2,0.6,0.2,0.2,4,0.4
11,paper,scissors,1,7,2,2,0.64,0.18,0.18,5,0.45
12,paper,scissors,1,8,2,2,0.67,0.17,0.17,6,0.5
13,paper,scissors,1,9,2,2,0.69,0.15,0.15,7,0.54
14,scissors,scissors,0,9,3,2,0.64,0.21,0.14,7,0.5
15,paper,scissors,1,10,3,2,0.67,0.2,0.13,8,0.53
16,paper,scissors,1,11,3,2,0.69,0.19,0.12,9,0.56
17,rock,scissors,-1,11,3,3,0.65,0.18,0.18,8,0.47
18,rock,scissors,-1,11,3,4,0.61,0.17,0.22,7,0.39
19,paper,scissors,1,12,3,4,0.63,0.16,0.21,8,0.42
20,paper,scissors,1,13,3,4,0.65,0.15,0.2,9,0.45
21,paper,scissors,1,14,3,4,0.67,0.14,0.19,10,0.48
22,paper,scissors,1,15,3,4,0.68,0.14,0.18,11,0.5
23,paper,scissors,1,16,3,4,0.7,0.13,0.17,12,0.52
24,scissors,scissors,0,16,4,4,0.67,0.17,0.17,12,0.5
25,rock,scissors,-1,16,4,5,0.64,0.16,0.2,11,0.44
26,paper,scissors,1,17,4,5,0.65,0.15,0.19,12,0.46
27,rock,scissors,-1,17,4,6,0.63,0.15,0.22,11,0.41
28,rock,scissors,-1,17,4,7,0.61,0.14,0.25,10,0.36
29,paper,scissors,1,18,4,7,0.62,0.14,0.24,11,0.38
30,rock,scissors,-1,18,4,8,0.6,0.13,0.27,10,0.33
31,rock,scissors,-1,18,4,9,0.58,0.13,0.29,9,0.29
32,rock,scissors,-1,18,4,10,0.56,0.12,0.31,8,0.25
