n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,rock,scissors,-1,0,0,1,0.0,0.0,1.0,-1,-1.0
2,rock,paper,1,1,0,1,0.5,0.0,0.5,0,0.0
3,scissors,paper,-1,1,0,2,0.33,0.0,0.67,-1,-0.33
4,rock,paper,1,2,0,2,0.5,0.0,0.5,0,0.0
5,rock,paper,1,3,0,2,0.6,0.0,0.4,1,0.2
6,rock,paper,1,4,0,2,0.67,0.0,0.33,2,0.33
7,scissors,paper,-1,4,0,3,0.57,0.0,0.43,1,0.14
8,rock,scissors,-1,4,0,4,0.5,0.0,0.5,0,0.0
9,rock,paper,1,5,0,4,0.56,0.0,0.44,1,0.11
10,rock,scissors,-1,5,0,5,0.5,0.0,0.5,0,0.0
11,rock,paper,1,6,0,5,0.55,0.0,0.45,1,0.09
12,rock,paper,1,7,0,5,0.58,0.0,0.42,2,0.17
13,rock,paper,1,8,0,5,0.62,0.0,0.38,3,0.23
14,rock,paper,1,9,0,5,0.64,0.0,0.36,4,0.29
15,rock,paper,1,10,0,5,0.67,0.0,0.33,5,0.33
16,rock,paper,1,11,0,5,0.69,0.0,0.31,6,0.38
17,rock,paper,1,12,0,5,0.71,0.0,0.29,7,0.41
18,rock,paper,1,13,0,5,0.72,0.0,0.28,8,0.44
19,scissors,paper,-1,13,0,6,0.68,0.0,0.32,7,0.37
20,rock,paper,1,14,0,6,0.7,0.0,0.3,8,0.4
21,rock,paper,1,15,0,6,0.71,0.0,0.29,9,0.43
22,rock,paper,1,16,0,6,0.73,0.0,0.27,10,0.45
23,rock,paper,1,17,0,6,0.74,0.0,0.26,11,0.48
24,rock,paper,1,18,0,6,0.75,0.0,0.25,12,0.5
25,rock,paper,1,19,0,6,0.76,0.0,0.24,13,0.52
26,rock,paper,1,20,0,6,0.77,0.0,0.23,14,0.54
27,scissors,paper,-1,20,0,7,0.74,0.0,0.26,13,0.48
28,scissors,paper,-1,20,0,8,0.71,0.0,0.29,12,0.43
29,rock,paper,1,21,0,8,0.72,0.0,0.28,13,0.45
30,rock,paper,1,22,0,8,0.73,0.0,0.27,14,0.47
31,rock,paper,1,23,0,8,0.74,0.0,0.26,15,0.48
32,rock,paper,1,24,0,8,0.75,0.0,0.25,16,0.5
33,rock,scissors,-1,24,0,9,0.73,0.0,0.27,15,0.45
34,rock,paper,1,25,0,9,0.74,0.0,0.26,16,0.47
35,scissors,paper,-1,25,0,10,0.71,0.0,0.29,15,0.43
36,rock,paper,1,26,0,10,0.72,0.0,0.28,16,0.44
37,scissors,paper,-1,26,0,11,0.7,0.0,0.3,15,0.41
38,rock,paper,1,27,0,11,0.71,0.0,0.29,16,0.42
39,rock,paper,1,28,0,11,0.72,0.0,0.28,17,0.44
40,rock,paper,1,29,0,11,0.72,0.0,0.28,18,0.45
41,scissors,scissors,0,29,1,11,0.71,0.02,0.27,18,0.44
42,rock,paper,1,30,1,11,0.71,0.02,0.26,19,0.45
43,rock,paper,1,31,1,11,0.72,0.02,0.26,20,0.47
44,rock,scissors,-1,31,1,12,0.7,0.02,0.27,19,0.43
45,scissors,paper,-1,31,1,13,0.69,0.02,0.29,18,0.4
46,rock,paper,1,32,1,13,0.7,0.02,0.28,19,0.41
47,rock,scissors,-1,32,1,14,0.68,0.02,0.3,18,0.38
48,rock,paper,1,33,1,14,0.69,0.02,0.29,19,0.4
49,scissors,paper,-1,33,1,15,0.67,0.02,0.31,18,0.37
50,rock,scissors,-1,33,1,16,0.66,0.02,0.32,17,0.34
51,rock,paper,1,34,1,16,0.67,0.02,0.31,18,0.35
52,rock,paper,1,35,1,16,0.67,0.02,0.31,19,0.37
53,scissors,paper,-1,35,1,17,0.66,0.02,0.32,18,0.34
54,rock,paper,1,36,1,17,0.67,0.02,0.31,19,0.35
55,scissors,paper,-1,36,1,18,0.65,0.02,0.33,18,0.33
56,rock,paper,1,37,1,18,0.66,0.02,0.32,19,0.34
57,rock,paper,1,38,1,18,0.67,0.02,0.32,20,0.35
58,rock,paper,1,39,1,18,0.67,0.02,0.31,21,0.36
59,rock,paper,1,40,1,18,0.68,0.02,0.31,22,0.37
60,scissors,paper,-1,40,1,19,0.67,0.02,0.32,21,0.35
61,rock,paper,1,41,1,19,0.67,0.02,0.31,22,0.36
62,rock,paper,1,42,1,19,0.68,0.02,0.31,23,0.37
63,rock,scissors,-1,42,1,20,0.67,0.02,0.32,22,0.35
64,rock,paper,1,43,1,20,0.67,0.02,0.31,23,0.36
65,scissors,paper,-1,43,1,21,0.66,0.02,0.32,22,0.34
66,rock,scissors,-1,43,1,22,0.65,0.02,0.33,21,0.32
67,rock,paper,1,44,1,22,0.66,0.01,0.33,22,0.33
68,scissors,paper,-1,44,1,23,0.65,0.01,0.34,21,0.31
69,rock,scissors,-1,44,1,24,0.64,0.01,0.35,20,0.29
70,rock,paper,1,45,1,24,0.64,0.01,0.34,21,0.3
71,rock,paper,1,46,1,24,0.65,0.01,0.34,22,0.31
72,rock,paper,1,47,1,24,0.65,0.01,0.33,23,0.32
73,rock,paper,1,48,1,24,0.66,0.01,0.33,24,0.33
74,rock,paper,1,49,1,24,0.66,0.01,0.32,25,0.34
75,rock,paper,1,50,1,24,0.67,0.01,0.32,26,0.35
76,scissors,paper,-1,50,1,25,0.66,0.01,0.33,25,0.33
77,rock,paper,1,51,1,25,0.66,0.01,0.32,26,0.34
78,scissors,paper,-1,51,1,26,0.65,0.01,0.33,25,0.32
79,rock,scissors,-1,51,1,27,0.65,0.01,0.34,24,0.3
80,scissors,paper,-1,51,1,28,0.64,0.01,0.35,23,0.29
81,rock,scissors,-1,51,1,29,0.63,0.01,0.36,22,0.27
82,rock,paper,1,52,1,29,0.63,0.01,0.35,23,0.28
83,rock,paper,1,53,1,29,0.64,0.01,0.35,24,0.29
84,rock,paper,1,54,1,29,0.64,0.01,0.35,25,0.3
85,rock,scissors,-1,54,1,30,0.64,0.01,0.35,24,0.28
86,rock,paper,1,55,1,30,0.64,0.01,0.35,25,0.29
87,rock,scissors,-1,55,1,31,0.63,0.01,0.36,24,0.28
88,rock,paper,1,56,1,31,0.64,0.01,0.35,25,0.28
89,scissors,paper,-1,56,1,32,0.63,0.01,0.36,24,0.27
90,scissors,paper,-1,56,1,33,0.62,0.01,0.37,23,0.26
91,scissors,paper,-1,56,1,34,0.62,0.01,0.37,22,0.24
92,rock,paper,1,57,1,34,0.62,0.01,0.37,23,0.25
93,rock,paper,1,58,1,34,0.62,0.01,0.37,24,0.26
94,scissors,paper,-1,58,1,35,0.62,0.01,0.37,23,0.24
95,rock,scissors,-1,58,1,36,0.61,0.01,0.38,22,0.23
96,rock,paper,1,59,1,36,0.61,0.01,0.38,23,0.24
97,rock,paper,1,60,1,36,0.62,0.01,0.37,24,0.25
98,scissors,paper,-1,60,1,37,0.61,0.01,0.38,23,0.23
99,rock,paper,1,61,1,37,0.62,0.01,0.37,24,0.24
100,rock,paper,1,62,1,37,0.62,0.01,0.37,25,0.25
101,scissors,paper,-1,62,1,38,0.61,0.01,0.38,24,0.24
102,rock,scissors,-1,62,1,39,0.61,0.01,0.38,23,0.23
103,rock,paper,1,63,1,39,0.61,0.01,0.38,24,0.23
104,rock,paper,1,64,1,39,0.62,0.01,0.38,25,0.24
105,rock,paper,1,65,1,39,0.62,0.01,0.37,26,0.25
106,rock,paper,1,66,1,39,0.62,0.01,0.37,27,0.25
107,rock,paper,1,67,1,39,0.63,0.01,0.36,28,0.26
108,rock,scissors,-1,67,1,40,0.62,0.01,0.37,27,0.25
109,rock,paper,1,68,1,40,0.62,0.01,0.37,28,0.26
110,rock,paper,1,69,1,40,0.63,0.01,0.36,29,0.26
111,rock,paper,1,70,1,40,0.63,0.01,0.36,30,0.27
112,rock,paper,1,71,1,40,0.63,0.01,0.36,31,0.28
113,rock,paper,1,72,1,40,0.64,0.01,0.35,32,0.28
114,rock,paper,1,73,1,40,0.64,0.01,0.35,33,0.29
115,rock,paper,1,74,1,40,0.64,0.01,0.35,34,0.3
116,rock,paper,1,75,1,40,0.65,0.01,0.34,35,0.3
117,rock,paper,1,76,1,40,0.65,0.01,0.34,36,0.31
118,rock,paper,1,77,1,40,0.65,0.01,0.34,37,0.31
119,rock,scissors,-1,77,1,41,0.65,0.01,0.34,36,0.3
120,rock,paper,1,78,1,41,0.65,0.01,0.34,37,0.31
121,rock,paper,1,79,1,41,0.65,0.01,0.34,38,0.31
122,rock,paper,1,80,1,41,0.66,0.01,0.34,39,0.32
123,rock,paper,1,81,1,41,0.66,0.01,0.33,40,0.33
124,rock,paper,1,82,1,41,0.66,0.01,0.33,41,0.33
125,rock,paper,1,83,1,41,0.66,0.01,0.33,42,0.34
126,rock,paper,1,84,1,41,0.67,0.01,0.33,43,0.34
127,rock,paper,1,85,1,41,0.67,0.01,0.32,44,0.35
128,rock,paper,1,86,1,41,0.67,0.01,0.32,45,0.35
129,rock,paper,1,87,1,41,0.67,0.01,0.32,46,0.36
130,rock,paper,1,88,1,41,0.68,0.01,0.32,47,0.36
131,rock,paper,1,89,1,41,0.68,0.01,0.31,48,0.37
132,scissors,paper,-1,89,1,42,0.67,0.01,0.32,47,0.36
133,rock,paper,1,90,1,42,0.68,0.01,0.32,48,0.36
134,rock,paper,1,91,1,42,0.68,0.01,0.31,49,0.37
135,scissors,paper,-1,91,1,43,0.67,0.01,0.32,48,0.36
136,rock,scissors,-1,91,1,44,0.67,0.01,0.32,47,0.35
137,scissors,paper,-1,91,1,45,0.66,0.01,0.33,46,0.34
138,rock,paper,1,92,1,45,0.67,0.01,0.33,47,0.34
139,rock,paper,1,93,1,45,0.67,0.01,0.32,48,0.35
140,rock,paper,1,94,1,45,0.67,0.01,0.32,49,0.35
141,scissors,paper,-1,94,1,46,0.67,0.01,0.33,48,0.34
142,rock,paper,1,95,1,46,0.67,0.01,0.32,49,0.35
143,rock,paper,1,96,1,46,0.67,0.01,0.32,50,0.35
144,rock,scissors,-1,96,1,47,0.67,0.01,0.33,49,0.34
145,rock,scissors,-1,96,1,48,0.66,0.01,0.33,48,0.33
146,rock,paper,1,97,1,48,0.66,0.01,0.33,49,0.34
147,rock,paper,1,98,1,48,0.67,0.01,0.33,50,0.34
148,rock,paper,1,99,1,48,0.67,0.01,0.32,51,0.34
149,scissors,paper,-1,99,1,49,0.66,0.01,0.33,50,0.34
