n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,rock,rock,0,0,1,0,0.0,1.0,0.0,0,0.0
2,rock,scissors,-1,0,1,1,0.0,0.5,0.5,-1,-0.5
3,scissors,rock,1,1,1,1,0.33,0.33,0.33,0,0.0
4,scissors,rock,1,2,1,1,0.5,0.25,0.25,1,0.25
5,scissors,rock,1,3,1,1,0.6,0.2,0.2,2,0.4
6,scissors,rock,1,4,1,1,0.67,0.17,0.17,3,0.5
7,rock,rock,0,4,2,1,0.57,0.29,0.14,3,0.43
8,rock,scissors,-1,4,2,2,0.5,0.25,0.25,2,0.25
9,scissors,rock,1,5,2,2,0.56,0.22,0.22,3,0.33
10,scissors,rock,1,6,2,2,0.6,0.2,0.2,4,0.4
11,scissors,rock,1,7,2,2,0.64,0.18,0.18,5,0.45
12,scissors,rock,1,8,2,2,0.67,0.17,0.17,6,0.5
13,rock,rock,0,8,3,2,0.62,0.23,0.15,6,0.46
14,rock,rock,0,8,4,2,0.57,0.29,0.14,6,0.43
15,scissors,rock,1,9,4,2,0.6,0.27,0.13,7,0.47
16,scissors,rock,1,10,4,2,0.62,0.25,0.12,8,0.5
17,rock,rock,0,10,5,2,0.59,0.29,0.12,8,0.47
18,scissors,rock,1,11,5,2,0.61,0.28,0.11,9,0.5
19,scissors,rock,1,12,5,2,0.63,0.26,0.11,10,0.53
20,scissors,rock,1,13,5,2,0.65,0.25,0.1,11,0.55
21,scissors,rock,1,14,5,2,0.67,0.24,0.1,12,0.57
22,scissors,rock,1,15,5,2,0.68,0.23,0.09,13,0.59
23,scissors,scissors,0,15,6,2,0.65,0.26,0.09,13,0.57
24,scissors,rock,1,16,6,2,0.67,0.25,0.08,14,0.58
25,rock,rock,0,16,7,2,0.64,0.28,0.08,14,0.56
26,scissors,rock,1,17,7,2,0.65,0.27,0.08,15,0.58
27,scissors,rock,1,18,7,2,0.67,0.26,0.07,16,0.59
28,scissors,rock,1,19,7,2,0.68,0.25,0.07,17,0.61
29,rock,scissors,-1,19,7,3,0.66,0.24,0.1,16,0.55
30,scissors,rock,1,20,7,3,0.67,0.23,0.1,17,0.57
