n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,rock,1,1,0,0,1.0,0.0,0.0,1,1.0
2,scissors,scissors,0,1,1,0,0.5,0.5,0.0,1,0.5
3,scissors,rock,1,2,1,0,0.67,0.33,0.0,2,0.67
4,rock,rock,0,2,2,0,0.5,0.5,0.0,2,0.5
5,scissors,scissors,0,2,3,0,0.4,0.6,0.0,2,0.4
6,scissors,rock,1,3,3,0,0.5,0.5,0.0,3,0.5
7,scissors,rock,1,4,3,0,0.57,0.43,0.0,4,0.57
8,scissors,rock,1,5,3,0,0.62,0.38,0.0,5,0.62
9,rock,rock,0,5,4,0,0.56,0.44,0.0,5,0.56
10,scissors,scissors,0,5,5,0,0.5,0.5,0.0,5,0.5
11,rock,rock,0,5,6,0,0.45,0.55,0.0,5,0.45
12,scissors,rock,1,6,6,0,0.5,0.5,0.0,6,0.5
13,scissors,rock,1,7,6,0,0.54,0.46,0.0,7,0.54
14,scissors,rock,1,8,6,0,0.57,0.43,0.0,8,0.57
15,scissors,rock,1,9,6,0,0.6,0.4,0.0,9,0.6
16,rock,rock,0,9,7,0,0.56,0.44,0.0,9,0.56
17,scissors,rock,1,10,7,0,0.59,0.41,0.0,10,0.59
18,scissors,scissors,0,10,8,0,0.56,0.44,0.0,10,0.56
19,scissors,rock,1,11,8,0,0.58,0.42,0.0,11,0.58
20,scissors,rock,1,12,8,0,0.6,0.4,0.0,12,0.6
21,rock,scissors,-1,12,8,1,0.57,0.38,0.05,11,0.52
22,rock,rock,0,12,9,1,0.55,0.41,0.05,11,0.5
23,scissors,rock,1,13,9,1,0.57,0.39,0.04,12,0.52
24,rock,rock,0,13,10,1,0.54,0.42,0.04,12,0.5
25,rock,rock,0,13,11,1,0.52,0.44,0.04,12,0.48
26,scissors,rock,1,14,11,1,0.54,0.42,0.04,13,0.5
27,scissors,rock,1,15,11,1,0.56,0.41,0.04,14,0.52
28,scissors,rock,1,16,11,1,0.57,0.39,0.04,15,0.54
29,rock,rock,0,16,12,1,0.55,0.41,0.03,15,0.52
30,rock,rock,0,16,13,1,0.53,0.43,0.03,15,0.5
31,scissors,rock,1,17,13,1,0.55,0.42,0.03,16,0.52
32,rock,scissors,-1,17,13,2,0.53,0.41,0.06,15,0.47
33,scissors,rock,1,18,13,2,0.55,0.39,0.06,16,0.48
34,scissors,rock,1,19,13,2,0.56,0.38,0.06,17,0.5
35,rock,rock,0,19,14,2,0.54,0.4,0.06,17,0.49
36,scissors,rock,1,20,14,2,0.56,0.39,0.06,18,0.5
37,rock,rock,0,20,15,2,0.54,0.41,0.05,18,0.49
38,scissors,scissors,0,20,16,2,0.53,0.42,0.05,18,0.47
39,rock,rock,0,20,17,2,0.51,0.44,0.05,18,0.46
40,scissors,scissors,0,20,18,2,0.5,0.45,0.05,18,0.45
41,scissors,rock,1,21,18,2,0.51,0.44,0.05,19,0.46
42,scissors,rock,1,22,18,2,0.52,0.43,0.05,20,0.48
43,rock,rock,0,22,19,2,0.51,0.44,0.05,20,0.47
44,scissors,rock,1,23,19,2,0.52,0.43,0.05,21,0.48
45,scissors,rock,1,24,19,2,0.53,0.42,0.04,22,0.49
46,scissors,rock,1,25,19,2,0.54,0.41,0.04,23,0.5
47,scissors,rock,1,26,19,2,0.55,0.4,0.04,24,0.51
48,scissors,scissors,0,26,20,2,0.54,0.42,0.04,24,0.5
49,scissors,rock,1,27,20,2,0.55,0.41,0.04,25,0.51
50,scissors,rock,1,28,20,2,0.56,0.4,0.04,26,0.52
51,scissors,scissors,0,28,21,2,0.55,0.41,0.04,26,0.51
52,rock,rock,0,28,22,2,0.54,0.42,0.04,26,0.5
53,rock,rock,0,28,23,2,0.53,0.43,0.04,26,0.49
54,scissors,rock,1,29,23,2,0.54,0.43,0.04,27,0.5
55,scissors,rock,1,30,23,2,0.55,0.42,0.04,28,0.51
56,scissors,scissors,0,30,24,2,0.54,0.43,0.04,28,0.5
57,scissors,rock,1,31,24,2,0.54,0.42,0.04,29,0.51
58,rock,rock,0,31,25,2,0.53,0.43,0.03,29,0.5
59,scissors,rock,1,32,25,2,0.54,0.42,0.03,30,0.51
60,rock,rock,0,32,26,2,0.53,0.43,0.03,30,0.5
61,scissors,rock,1,33,26,2,0.54,0.43,0.03,31,0.51
62,scissors,rock,1,34,26,2,0.55,0.42,0.03,32,0.52
63,scissors,rock,1,35,26,2,0.56,0.41,0.03,33,0.52
64,scissors,rock,1,36,26,2,0.56,0.41,0.03,34,0.53
65,scissors,rock,1,37,26,2,0.57,0.4,0.03,35,0.54
66,scissors,rock,1,38,26,2,0.58,0.39,0.03,36,0.55
67,rock,rock,0,38,27,2,0.57,0.4,0.03,36,0.54
68,scissors,rock,1,39,27,2,0.57,0.4,0.03,37,0.54
69,scissors,rock,1,40,27,2,0.58,0.39,0.03,38,0.55
70,scissors,rock,1,41,27,2,0.59,0.39,0.03,39,0.56
71,scissors,rock,1,42,27,2,0.59,0.38,0.03,40,0.56
