n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,rock,paper,1,1,0,0,1.0,0.0,0.0,1,1.0
2,rock,paper,1,2,0,0,1.0,0.0,0.0,2,1.0
3,rock,paper,1,3,0,0,1.0,0.0,0.0,3,1.0
4,rock,paper,1,4,0,0,1.0,0.0,0.0,4,1.0
5,rock,paper,1,5,0,0,1.0,0.0,0.0,5,1.0
6,rock,paper,1,6,0,0,1.0,0.0,0.0,6,1.0
7,rock,paper,1,7,0,0,1.0,0.0,0.0,7,1.0
8,rock,paper,1,8,0,0,1.0,0.0,0.0,8,1.0
9,scissors,paper,-1,8,0,1,0.89,0.0,0.11,7,0.78
10,scissors,paper,-1,8,0,2,0.8,0.0,0.2,6,0.6
11,rock,rock,0,8,1,2,0.73,0.09,0.18,6,0.55
12,rock,paper,1,9,1,2,0.75,0.08,0.17,7,0.58
13,scissors,paper,-1,9,1,3,0.69,0.08,0.23,6,0.46
14,rock,rock,0,9,2,3,0.64,0.14,0.21,6,0.43
15,rock,rock,0,9,3,3,0.6,0.2,0.2,6,0.4
16,rock,paper,1,10,3,3,0.62,0.19,0.19,7,0.44
17,rock,paper,1,11,3,3,0.65,0.18,0.18,8,0.47
18,rock,paper,1,12,3,3,0.67,0.17,0.17,9,0.5
19,rock,rock,0,12,4,3,0.63,0.21,0.16,9,0.47
20,rock,paper,1,13,4,3,0.65,0.2,0.15,10,0.5
21,scissors,paper,-1,13,4,4,0.62,0.19,0.19,9,0.43
22,scissors,paper,-1,13,4,5,0.59,0.18,0.23,8,0.36
23,rock,paper,1,14,4,5,0.61,0.17,0.22,9,0.39
24,rock,paper,1,15,4,5,0.62,0.17,0.21,10,0.42
25,rock,paper,1,16,4,5,0.64,0.16,0.2,11,0.44
26,scissors,paper,-1,16,4,6,0.62,0.15,0.23,10,0.38
27,rock,paper,1,17,4,6,0.63,0.15,0.22,11,0.41
28,rock,paper,1,18,4,6,0.64,0.14,0.21,12,0.43
29,rock,paper,1,19,4,6,0.66,0.14,0.21,13,0.45
30,rock,rock,0,19,5,6,0.63,0.17,0.2,13,0.43
31,rock,paper,1,20,5,6,0.65,0.16,0.19,14,0.45
32,scissors,paper,-1,20,5,7,0.62,0.16,0.22,13,0.41
33,rock,paper,1,21,5,7,0.64,0.15,0.21,14,0.42
34,scissors,rock,1,22,5,7,0.65,0.15,0.21,15,0.44
35,rock,rock,0,22,6,7,0.63,0.17,0.2,15,0.43
36,scissors,rock,1,23,6,7,0.64,0.17,0.19,16,0.44
37,scissors,paper,-1,23,6,8,0.62,0.16,0.22,15,0.41
38,rock,paper,1,24,6,8,0.63,0.16,0.21,16,0.42
39,scissors,paper,-1,24,6,9,0.62,0.15,0.23,15,0.38
40,scissors,paper,-1,24,6,10,0.6,0.15,0.25,14,0.35
41,rock,paper,1,25,6,10,0.61,0.15,0.24,15,0.37
42,rock,paper,1,26,6,10,0.62,0.14,0.24,16,0.38
43,rock,paper,1,27,6,10,0.63,0.14,0.23,17,0.4
44,rock,paper,1,28,6,10,0.64,0.14,0.23,18,0.41
45,rock,paper,1,29,6,10,0.64,0.13,0.22,19,0.42
46,rock,paper,1,30,6,10,0.65,0.13,0.22,20,0.43
47,rock,paper,1,31,6,10,0.66,0.13,0.21,21,0.45
48,rock,paper,1,32,6,10,0.67,0.12,0.21,22,0.46
49,rock,paper,1,33,6,10,0.67,0.12,0.2,23,0.47
50,rock,paper,1,34,6,10,0.68,0.12,0.2,24,0.48
51,rock,paper,1,35,6,10,0.69,0.12,0.2,25,0.49
52,rock,paper,1,36,6,10,0.69,0.12,0.19,26,0.5
53,rock,paper,1,37,6,10,0.7,0.11,0.19,27,0.51
54,rock,paper,1,38,6,10,0.7,0.11,0.19,28,0.52
55,rock,paper,1,39,6,10,0.71,0.11,0.18,29,0.53
56,rock,paper,1,40,6,10,0.71,0.11,0.18,30,0.54
57,rock,paper,1,41,6,10,0.72,0.11,0.18,31,0.54
58,rock,paper,1,42,6,10,0.72,0.1,0.17,32,0.55
59,rock,paper,1,43,6,10,0.73,0.1,0.17,33,0.56
60,rock,rock,0,43,7,10,0.72,0.12,0.17,33,0.55
61,rock,rock,0,43,8,10,0.7,0.13,0.16,33,0.54
62,rock,paper,1,44,8,10,0.71,0.13,0.16,34,0.55
63,rock,paper,1,45,8,10,0.71,0.13,0.16,35,0.56
64,rock,rock,0,45,9,10,0.7,0.14,0.16,35,0.55
65,rock,paper,1,46,9,10,0.71,0.14,0.15,36,0.55
66,scissors,paper,-1,46,9,11,0.7,0.14,0.17,35,0.53
67,rock,paper,1,47,9,11,0.7,0.13,0.16,36,0.54
68,rock,paper,1,48,9,11,0.71,0.13,0.16,37,0.54
69,rock,paper,1,49,9,11,0.71,0.13,0.16,38,0.55
70,rock,rock,0,49,10,11,0.7,0.14,0.16,38,0.54
71,rock,paper,1,50,10,11,0.7,0.14,0.15,39,0.55
72,rock,paper,1,51,10,11,0.71,0.14,0.15,40,0.56
73,rock,rock,0,51,11,11,0.7,0.15,0.15,40,0.55
74,rock,paper,1,52,11,11,0.7,0.15,0.15,41,0.55
75,rock,paper,1,53,11,11,0.71,0.15,0.15,42,0.56
76,rock,rock,0,53,12,11,0.7,0.16,0.14,42,0.55
77,rock,paper,1,54,12,11,0.7,0.16,0.14,43,0.56
78,scissors,rock,1,55,12,11,0.71,0.15,0.14,44,0.56
79,rock,rock,0,55,13,11,0.7,0.16,0.14,44,0.56
80,rock,rock,0,55,14,11,0.69,0.17,0.14,44,0.55
81,rock,paper,1,56,14,11,0.69,0.17,0.14,45,0.56
82,rock,paper,1,57,14,11,0.7,0.17,0.13,46,0.56
83,rock,paper,1,58,14,11,0.7,0.17,0.13,47,0.57
84,rock,paper,1,59,14,11,0.7,0.17,0.13,48,0.57
85,rock,paper,1,60,14,11,0.71,0.16,0.13,49,0.58
86,rock,paper,1,61,14,11,0.71,0.16,0.13,50,0.58
87,rock,paper,1,62,14,11,0.71,0.16,0.13,51,0.59
88,rock,paper,1,63,14,11,0.72,0.16,0.12,52,0.59
89,rock,paper,1,64,14,11,0.72,0.16,0.12,53,0.6
90,rock,paper,1,65,14,11,0.72,0.16,0.12,54,0.6
91,rock,paper,1,66,14,11,0.73,0.15,0.12,55,0.6
92,scissors,paper,-1,66,14,12,0.72,0.15,0.13,54,0.59
93,rock,paper,1,67,14,12,0.72,0.15,0.13,55,0.59
94,rock,paper,1,68,14,12,0.72,0.15,0.13,56,0.6
95,rock,paper,1,69,14,12,0.73,0.15,0.13,57,0.6
96,rock,rock,0,69,15,12,0.72,0.16,0.12,57,0.59
97,rock,rock,0,69,16,12,0.71,0.16,0.12,57,0.59
98,rock,paper,1,70,16,12,0.71,0.16,0.12,58,0.59
99,rock,rock,0,70,17,12,0.71,0.17,0.12,58,0.59
100,rock,paper,1,71,17,12,0.71,0.17,0.12,59,0.59
101,rock,paper,1,72,17,12,0.71,0.17,0.12,60,0.59
102,rock,rock,0,72,18,12,0.71,0.18,0.12,60,0.59
103,rock,rock,0,72,19,12,0.7,0.18,0.12,60,0.58
104,rock,paper,1,73,19,12,0.7,0.18,0.12,61,0.59
105,rock,paper,1,74,19,12,0.7,0.18,0.11,62,0.59
106,rock,paper,1,75,19,12,0.71,0.18,0.11,63,0.59
107,rock,paper,1,76,19,12,0.71,0.18,0.11,64,0.6
