n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,rock,1,1,0,0,1.0,0.0,0.0,1,1.0
2,scissors,scissors,0,1,1,0,0.5,0.5,0.0,1,0.5
3,paper,paper,0,1,2,0,0.33,0.67,0.0,1,0.33
4,rock,rock,0,1,3,0,0.25,0.75,0.0,1,0.25
5,paper,scissors,1,2,3,0,0.4,0.6,0.0,2,0.4
6,rock,scissors,-1,2,3,1,0.33,0.5,0.17,1,0.17
7,paper,paper,0,2,4,1,0.29,0.57,0.14,1,0.14
8,rock,rock,0,2,5,1,0.25,0.62,0.12,1,0.12
9,paper,scissors,1,3,5,1,0.33,0.56,0.11,2,0.22
10,paper,scissors,1,4,5,1,0.4,0.5,0.1,3,0.3
11,paper,paper,0,4,6,1,0.36,0.55,0.09,3,0.27
12,rock,paper,1,5,6,1,0.42,0.5,0.08,4,0.33
13,paper,rock,-1,5,6,2,0.38,0.46,0.15,3,0.23
14,rock,paper,1,6,6,2,0.43,0.43,0.14,4,0.29
15,scissors,paper,-1,6,6,3,0.4,0.4,0.2,3,0.2
16,paper,rock,-1,6,6,4,0.38,0.38,0.25,2,0.12
17,rock,paper,1,7,6,4,0.41,0.35,0.24,3,0.18
18,paper,scissors,1,8,6,4,0.44,0.33,0.22,4,0.22
19,paper,scissors,1,9,6,4,0.47,0.32,0.21,5,0.26
20,scissors,scissors,0,9,7,4,0.45,0.35,0.2,5,0.25
21,paper,scissors,1,10,7,4,0.48,0.33,0.19,6,0.29
22,rock,scissors,-1,10,7,5,0.45,0.32,0.23,5,0.23
23,scissors,scissors,0,10,8,5,0.43,0.35,0.22,5,0.22
24,paper,rock,-1,10,8,6,0.42,0.33,0.25,4,0.17
25,paper,scissors,1,11,8,6,0.44,0.32,0.24,5,0.2
26,paper,scissors,1,12,8,6,0.46,0.31,0.23,6,0.23
27,rock,scissors,-1,12,8,7,0.44,0.3,0.26,5,0.19
28,paper,scissors,1,13,8,7,0.46,0.29,0.25,6,0.21
29,paper,rock,-1,13,8,8,0.45,0.28,0.28,5,0.17
30,rock,scissors,-1,13,8,9,0.43,0.27,0.3,4,0.13
31,paper,paper,0,13,9,9,0.42,0.29,0.29,4,0.13
32,paper,paper,0,13,10,9,0.41,0.31,0.28,4,0.12
33,scissors,rock,1,14,10,9,0.42,0.3,0.27,5,0.15
34,rock,scissors,-1,14,10,10,0.41,0.29,0.29,4,0.12
35,paper,scissors,1,15,10,10,0.43,0.29,0.29,5,0.14
36,paper,scissors,1,16,10,10,0.44,0.28,0.28,6,0.17
37,paper,scissors,1,17,10,10,0.46,0.27,0.27,7,0.19
38,rock,scissors,-1,17,10,11,0.45,0.26,0.29,6,0.16
39,rock,scissors,-1,17,10,12,0.44,0.26,0.31,5,0.13
40,scissors,scissors,0,17,11,12,0.42,0.28,0.3,5,0.12
41,paper,rock,-1,17,11,13,0.41,0.27,0.32,4,0.1
42,paper,rock,-1,17,11,14,0.4,0.26,0.33,3,0.07
43,paper,scissors,1,18,11,14,0.42,0.26,0.33,4,0.09
44,paper,scissors,1,19,11,14,0.43,0.25,0.32,5,0.11
45,paper,paper,0,19,12,14,0.42,0.27,0.31,5,0.11
46,paper,rock,-1,19,12,15,0.41,0.26,0.33,4,0.09
47,paper,paper,0,19,13,15,0.4,0.28,0.32,4,0.09
48,paper,paper,0,19,14,15,0.4,0.29,0.31,4,0.08
49,scissors,paper,-1,19,14,16,0.39,0.29,0.33,3,0.06
50,rock,scissors,-1,19,14,17,0.38,0.28,0.34,2,0.04
51,paper,scissors,1,20,14,17,0.39,0.27,0.33,3,0.06
52,paper,rock,-1,20,14,18,0.38,0.27,0.35,2,0.04
53,rock,paper,1,21,14,18,0.4,0.26,0.34,3,0.06
54,rock,scissors,-1,21,14,19,0.39,0.26,0.35,2,0.04
55,paper,paper,0,21,15,19,0.38,0.27,0.35,2,0.04
56,rock,paper,1,22,15,19,0.39,0.27,0.34,3,0.05
57,paper,rock,-1,22,15,20,0.39,0.26,0.35,2,0.04
58,rock,scissors,-1,22,15,21,0.38,0.26,0.36,1,0.02
59,scissors,paper,-1,22,15,22,0.37,0.25,0.37,0,0.0
60,paper,paper,0,22,16,22,0.37,0.27,0.37,0,0.0
61,scissors,paper,-1,22,16,23,0.36,0.26,0.38,-1,-0.02
62,paper,scissors,1,23,16,23,0.37,0.26,0.37,0,0.0
63,paper,scissors,1,24,16,23,0.38,0.25,0.37,1,0.02
64,scissors,rock,1,25,16,23,0.39,0.25,0.36,2,0.03
65,rock,scissors,-1,25,16,24,0.38,0.25,0.37,1,0.02
66,paper,scissors,1,26,16,24,0.39,0.24,0.36,2,0.03
67,scissors,scissors,0,26,17,24,0.39,0.25,0.36,2,0.03
68,rock,scissors,-1,26,17,25,0.38,0.25,0.37,1,0.01
69,paper,paper,0,26,18,25,0.38,0.26,0.36,1,0.01
70,rock,scissors,-1,26,18,26,0.37,0.26,0.37,0,0.0
