n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,paper,-1,0,0,1,0.0,0.0,1.0,-1,-1.0
2,rock,paper,1,1,0,1,0.5,0.0,0.5,0,0.0
3,paper,paper,0,1,1,1,0.33,0.33,0.33,0,0.0
4,scissors,paper,-1,1,1,2,0.25,0.25,0.5,-1,-0.25
5,paper,paper,0,1,2,2,0.2,0.4,0.4,-1,-0.2
6,rock,paper,1,2,2,2,0.33,0.33,0.33,0,0.0
7,paper,paper,0,2,3,2,0.29,0.43,0.29,0,0.0
8,paper,paper,0,2,4,2,0.25,0.5,0.25,0,0.0
9,paper,paper,0,2,5,2,0.22,0.56,0.22,0,0.0
10,paper,paper,0,2,6,2,0.2,0.6,0.2,0,0.0
11,rock,paper,1,3,6,2,0.27,0.55,0.18,1,0.09
12,paper,paper,0,3,7,2,0.25,0.58,0.17,1,0.08
13,scissors,paper,-1,3,7,3,0.23,0.54,0.23,0,0.0
14,scissors,paper,-1,3,7,4,0.21,0.5,0.29,-1,-0.07
15,paper,paper,0,3,8,4,0.2,0.53,0.27,-1,-0.07
16,rock,paper,1,4,8,4,0.25,0.5,0.25,0,0.0
17,rock,paper,1,5,8,4,0.29,0.47,0.24,1,0.06
18,rock,paper,1,6,8,4,0.33,0.44,0.22,2,0.11
19,rock,paper,1,7,8,4,0.37,0.42,0.21,3,0.16
20,paper,paper,0,7,9,4,0.35,0.45,0.2,3,0.15
21,paper,paper,0,7,10,4,0.33,0.48,0.19,3,0.14
22,rock,paper,1,8,10,4,0.36,0.45,0.18,4,0.18
23,scissors,paper,-1,8,10,5,0.35,0.43,0.22,3,0.13
24,paper,paper,0,8,11,5,0.33,0.46,0.21,3,0.12
25,paper,paper,0,8,12,5,0.32,0.48,0.2,3,0.12
26,paper,paper,0,8,13,5,0.31,0.5,0.19,3,0.12
27,paper,paper,0,8,14,5,0.3,0.52,0.19,3,0.11
28,rock,paper,1,9,14,5,0.32,0.5,0.18,4,0.14
29,paper,paper,0,9,15,5,0.31,0.52,0.17,4,0.14
30,rock,paper,1,10,15,5,0.33,0.5,0.17,5,0.17
31,rock,paper,1,11,15,5,0.35,0.48,0.16,6,0.19
32,rock,paper,1,12,15,5,0.38,0.47,0.16,7,0.22
33,scissors,paper,-1,12,15,6,0.36,0.45,0.18,6,0.18
34,paper,paper,0,12,16,6,0.35,0.47,0.18,6,0.18
35,paper,paper,0,12,17,6,0.34,0.49,0.17,6,0.17
36,paper,paper,0,12,18,6,0.33,0.5,0.17,6,0.17
37,rock,paper,1,13,18,6,0.35,0.49,0.16,7,0.19
38,scissors,paper,-1,13,18,7,0.34,0.47,0.18,6,0.16
39,paper,paper,0,13,19,7,0.33,0.49,0.18,6,0.15
40,scissors,paper,-1,13,19,8,0.33,0.47,0.2,5,0.12
41,paper,paper,0,13,20,8,0.32,0.49,0.2,5,0.12
42,rock,paper,1,14,20,8,0.33,0.48,0.19,6,0.14
43,paper,paper,0,14,21,8,0.33,0.49,0.19,6,0.14
44,paper,paper,0,14,22,8,0.32,0.5,0.18,6,0.14
45,paper,paper,0,14,23,8,0.31,0.51,0.18,6,0.13
46,paper,paper,0,14,24,8,0.3,0.52,0.17,6,0.13
