n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,paper,paper,0,0,1,0,0.0,1.0,0.0,0,0.0
2,rock,paper,1,1,1,0,0.5,0.5,0.0,1,0.5
3,rock,paper,1,2,1,0,0.67,0.33,0.0,2,0.67
4,rock,paper,1,3,1,0,0.75,0.25,0.0,3,0.75
5,paper,paper,0,3,2,0,0.6,0.4,0.0,3,0.6
6,paper,paper,0,3,3,0,0.5,0.5,0.0,3,0.5
7,paper,paper,0,3,4,0,0.43,0.57,0.0,3,0.43
8,scissors,paper,-1,3,4,1,0.38,0.5,0.12,2,0.25
9,paper,paper,0,3,5,1,0.33,0.56,0.11,2,0.22
10,scissors,paper,-1,3,5,2,0.3,0.5,0.2,1,0.1
11,paper,paper,0,3,6,2,0.27,0.55,0.18,1,0.09
12,paper,paper,0,3,7,2,0.25,0.58,0.17,1,0.08
13,scissors,paper,-1,3,7,3,0.23,0.54,0.23,0,0.0
14,paper,paper,0,3,8,3,0.21,0.57,0.21,0,0.0
15,paper,paper,0,3,9,3,0.2,0.6,0.2,0,0.0
16,rock,paper,1,4,9,3,0.25,0.56,0.19,1,0.06
17,paper,paper,0,4,10,3,0.24,0.59,0.18,1,0.06
18,paper,paper,0,4,11,3,0.22,0.61,0.17,1,0.06
19,scissors,paper,-1,4,11,4,0.21,0.58,0.21,0,0.0
20,paper,paper,0,4,12,4,0.2,0.6,0.2,0,0.0
21,paper,paper,0,4,13,4,0.19,0.62,0.19,0,0.0
22,paper,paper,0,4,14,4,0.18,0.64,0.18,0,0.0
23,rock,paper,1,5,14,4,0.22,0.61,0.17,1,0.04
24,paper,paper,0,5,15,4,0.21,0.62,0.17,1,0.04
25,paper,paper,0,5,16,4,0.2,0.64,0.16,1,0.04
26,rock,paper,1,6,16,4,0.23,0.62,0.15,2,0.08
27,paper,paper,0,6,17,4,0.22,0.63,0.15,2,0.07
28,scissors,paper,-1,6,17,5,0.21,0.61,0.18,1,0.04
29,rock,paper,1,7,17,5,0.24,0.59,0.17,2,0.07
30,paper,paper,0,7,18,5,0.23,0.6,0.17,2,0.07
31,paper,paper,0,7,19,5,0.23,0.61,0.16,2,0.06
32,paper,paper,0,7,20,5,0.22,0.62,0.16,2,0.06
33,paper,paper,0,7,21,5,0.21,0.64,0.15,2,0.06
34,paper,paper,0,7,22,5,0.21,0.65,0.15,2,0.06
35,rock,paper,1,8,22,5,0.23,0.63,0.14,3,0.09
36,rock,paper,1,9,22,5,0.25,0.61,0.14,4,0.11
37,paper,paper,0,9,23,5,0.24,0.62,0.14,4,0.11
38,paper,paper,0,9,24,5,0.24,0.63,0.13,4,0.11
39,rock,paper,1,10,24,5,0.26,0.62,0.13,5,0.13
40,rock,paper,1,11,24,5,0.28,0.6,0.12,6,0.15
41,paper,paper,0,11,25,5,0.27,0.61,0.12,6,0.15
42,paper,paper,0,11,26,5,0.26,0.62,0.12,6,0.14
43,scissors,paper,-1,11,26,6,0.26,0.6,0.14,5,0.12
44,paper,paper,0,11,27,6,0.25,0.61,0.14,5,0.11
45,scissors,paper,-1,11,27,7,0.24,0.6,0.16,4,0.09
46,rock,paper,1,12,27,7,0.26,0.59,0.15,5,0.11
47,paper,paper,0,12,28,7,0.26,0.6,0.15,5,0.11
48,paper,paper,0,12,29,7,0.25,0.6,0.15,5,0.1
49,paper,paper,0,12,30,7,0.24,0.61,0.14,5,0.1
50,scissors,paper,-1,12,30,8,0.24,0.6,0.16,4,0.08
51,scissors,paper,-1,12,30,9,0.24,0.59,0.18,3,0.06
52,rock,paper,1,13,30,9,0.25,0.58,0.17,4,0.08
53,scissors,paper,-1,13,30,10,0.25,0.57,0.19,3,0.06
54,scissors,paper,-1,13,30,11,0.24,0.56,0.2,2,0.04
55,paper,paper,0,13,31,11,0.24,0.56,0.2,2,0.04
56,scissors,paper,-1,13,31,12,0.23,0.55,0.21,1,0.02
57,paper,paper,0,13,32,12,0.23,0.56,0.21,1,0.02
58,scissors,paper,-1,13,32,13,0.22,0.55,0.22,0,0.0
59,paper,paper,0,13,33,13,0.22,0.56,0.22,0,0.0
60,paper,paper,0,13,34,13,0.22,0.57,0.22,0,0.0
61,scissors,paper,-1,13,34,14,0.21,0.56,0.23,-1,-0.02
62,rock,paper,1,14,34,14,0.23,0.55,0.23,0,0.0
63,paper,paper,0,14,35,14,0.22,0.56,0.22,0,0.0
64,scissors,paper,-1,14,35,15,0.22,0.55,0.23,-1,-0.02
65,paper,paper,0,14,36,15,0.22,0.55,0.23,-1,-0.02
66,rock,paper,1,15,36,15,0.23,0.55,0.23,0,0.0
67,rock,paper,1,16,36,15,0.24,0.54,0.22,1,0.01
68,paper,paper,0,16,37,15,0.24,0.54,0.22,1,0.01
69,scissors,paper,-1,16,37,16,0.23,0.54,0.23,0,0.0
70,rock,paper,1,17,37,16,0.24,0.53,0.23,1,0.01
71,paper,paper,0,17,38,16,0.24,0.54,0.23,1,0.01
72,rock,paper,1,18,38,16,0.25,0.53,0.22,2,0.03
73,paper,paper,0,18,39,16,0.25,0.53,0.22,2,0.03
74,paper,paper,0,18,40,16,0.24,0.54,0.22,2,0.03
75,paper,paper,0,18,41,16,0.24,0.55,0.21,2,0.03
76,paper,paper,0,18,42,16,0.24,0.55,0.21,2,0.03
77,paper,paper,0,18,43,16,0.23,0.56,0.21,2,0.03
78,paper,paper,0,18,44,16,0.23,0.56,0.21,2,0.03
79,paper,paper,0,18,45,16,0.23,0.57,0.2,2,0.03
80,rock,paper,1,19,45,16,0.24,0.56,0.2,3,0.04
81,rock,paper,1,20,45,16,0.25,0.56,0.2,4,0.05
82,rock,paper,1,21,45,16,0.26,0.55,0.2,5,0.06
83,paper,paper,0,21,46,16,0.25,0.55,0.19,5,0.06
84,scissors,paper,-1,21,46,17,0.25,0.55,0.2,4,0.05
85,paper,paper,0,21,47,17,0.25,0.55,0.2,4,0.05
86,paper,paper,0,21,48,17,0.24,0.56,0.2,4,0.05
87,rock,paper,1,22,48,17,0.25,0.55,0.2,5,0.06
88,rock,paper,1,23,48,17,0.26,0.55,0.19,6,0.07
89,rock,paper,1,24,48,17,0.27,0.54,0.19,7,0.08
90,paper,paper,0,24,49,17,0.27,0.54,0.19,7,0.08
91,rock,paper,1,25,49,17,0.27,0.54,0.19,8,0.09
92,paper,paper,0,25,50,17,0.27,0.54,0.18,8,0.09
93,scissors,paper,-1,25,50,18,0.27,0.54,0.19,7,0.08
94,paper,paper,0,25,51,18,0.27,0.54,0.19,7,0.07
95,scissors,paper,-1,25,51,19,0.26,0.54,0.2,6,0.06
96,paper,paper,0,25,52,19,0.26,0.54,0.2,6,0.06
97,paper,paper,0,25,53,19,0.26,0.55,0.2,6,0.06
98,rock,paper,1,26,53,19,0.27,0.54,0.19,7,0.07
99,rock,paper,1,27,53,19,0.27,0.54,0.19,8,0.08
100,paper,paper,0,27,54,19,0.27,0.54,0.19,8,0.08
101,rock,paper,1,28,54,19,0.28,0.53,0.19,9,0.09
102,paper,paper,0,28,55,19,0.27,0.54,0.19,9,0.09
103,paper,paper,0,28,56,19,0.27,0.54,0.18,9,0.09
104,paper,paper,0,28,57,19,0.27,0.55,0.18,9,0.09
105,paper,paper,0,28,58,19,0.27,0.55,0.18,9,0.09
106,paper,paper,0,28,59,19,0.26,0.56,0.18,9,0.08
107,rock,paper,1,29,59,19,0.27,0.55,0.18,10,0.09
108,rock,paper,1,30,59,19,0.28,0.55,0.18,11,0.1
109,scissors,paper,-1,30,59,20,0.28,0.54,0.18,10,0.09
110,paper,paper,0,30,60,20,0.27,0.55,0.18,10,0.09
111,rock,paper,1,31,60,20,0.28,0.54,0.18,11,0.1
112,rock,paper,1,32,60,20,0.29,0.54,0.18,12,0.11
113,scissors,paper,-1,32,60,21,0.28,0.53,0.19,11,0.1
114,scissors,paper,-1,32,60,22,0.28,0.53,0.19,10,0.09
115,paper,paper,0,32,61,22,0.28,0.53,0.19,10,0.09
116,paper,paper,0,32,62,22,0.28,0.53,0.19,10,0.09
117,paper,paper,0,32,63,22,0.27,0.54,0.19,10,0.09
118,rock,paper,1,33,63,22,0.28,0.53,0.19,11,0.09
119,scissors,paper,-1,33,63,23,0.28,0.53,0.19,10,0.08
120,paper,paper,0,33,64,23,0.28,0.53,0.19,10,0.08
121,rock,paper,1,34,64,23,0.28,0.53,0.19,11,0.09
122,scissors,paper,-1,34,64,24,0.28,0.52,0.2,10,0.08
123,rock,paper,1,35,64,24,0.28,0.52,0.2,11,0.09
124,scissors,paper,-1,35,64,25,0.28,0.52,0.2,10,0.08
125,scissors,paper,-1,35,64,26,0.28,0.51,0.21,9,0.07
126,scissors,paper,-1,35,64,27,0.28,0.51,0.21,8,0.06
127,rock,paper,1,36,64,27,0.28,0.5,0.21,9,0.07
128,paper,paper,0,36,65,27,0.28,0.51,0.21,9,0.07
129,paper,paper,0,36,66,27,0.28,0.51,0.21,9,0.07
130,rock,paper,1,37,66,27,0.28,0.51,0.21,10,0.08
131,paper,paper,0,37,67,27,0.28,0.51,0.21,10,0.08
132,paper,paper,0,37,68,27,0.28,0.52,0.2,10,0.08
133,paper,paper,0,37,69,27,0.28,0.52,0.2,10,0.08
134,scissors,paper,-1,37,69,28,0.28,0.51,0.21,9,0.07
135,scissors,paper,-1,37,69,29,0.27,0.51,0.21,8,0.06
136,paper,paper,0,37,70,29,0.27,0.51,0.21,8,0.06
137,paper,paper,0,37,71,29,0.27,0.52,0.21,8,0.06
138,scissors,paper,-1,37,71,30,0.27,0.51,0.22,7,0.05
139,rock,paper,1,38,71,30,0.27,0.51,0.22,8,0.06
140,paper,paper,0,38,72,30,0.27,0.51,0.21,8,0.06
141,paper,paper,0,38,73,30,0.27,0.52,0.21,8,0.06
142,paper,paper,0,38,74,30,0.27,0.52,0.21,8,0.06
143,paper,paper,0,38,75,30,0.27,0.52,0.21,8,0.06
144,rock,paper,1,39,75,30,0.27,0.52,0.21,9,0.06
145,paper,paper,0,39,76,30,0.27,0.52,0.21,9,0.06
146,rock,paper,1,40,76,30,0.27,0.52,0.21,10,0.07
147,rock,paper,1,41,76,30,0.28,0.52,0.2,11,0.07
148,paper,paper,0,41,77,30,0.28,0.52,0.2,11,0.07
149,paper,paper,0,41,78,30,0.28,0.52,0.2,11,0.07
150,paper,paper,0,41,79,30,0.27,0.53,0.2,11,0.07
151,scissors,paper,-1,41,79,31,0.27,0.52,0.21,10,0.07
152,rock,paper,1,42,79,31,0.28,0.52,0.2,11,0.07
153,paper,paper,0,42,80,31,0.27,0.52,0.2,11,0.07
154,paper,paper,0,42,81,31,0.27,0.53,0.2,11,0.07
155,paper,paper,0,42,82,31,0.27,0.53,0.2,11,0.07
156,scissors,paper,-1,42,82,32,0.27,0.53,0.21,10,0.06
157,paper,paper,0,42,83,32,0.27,0.53,0.2,10,0.06
158,paper,paper,0,42,84,32,0.27,0.53,0.2,10,0.06
159,rock,paper,1,43,84,32,0.27,0.53,0.2,11,0.07
160,paper,paper,0,43,85,32,0.27,0.53,0.2,11,0.07
161,rock,paper,1,44,85,32,0.27,0.53,0.2,12,0.07
162,scissors,paper,-1,44,85,33,0.27,0.52,0.2,11,0.07
163,paper,paper,0,44,86,33,0.27,0.53,0.2,11,0.07
