n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,paper,-1,0,0,1,0.0,0.0,1.0,-1,-1.0
2,scissors,paper,-1,0,0,2,0.0,0.0,1.0,-2,-1.0
3,scissors,paper,-1,0,0,3,0.0,0.0,1.0,-3,-1.0
4,paper,rock,-1,0,0,4,0.0,0.0,1.0,-4,-1.0
5,paper,rock,-1,0,0,5,0.0,0.0,1.0,-5,-1.0
6,scissors,scissors,0,0,1,5,0.0,0.17,0.83,-5,-0.83
7,scissors,paper,-1,0,1,6,0.0,0.14,0.86,-6,-0.86
8,rock,scissors,-1,0,1,7,0.0,0.12,0.88,-7,-0.88
9,scissors,rock,1,1,1,7,0.11,0.11,0.78,-6,-0.67
10,paper,scissors,1,2,1,7,0.2,0.1,0.7,-5,-0.5
11,paper,scissors,1,3,1,7,0.27,0.09,0.64,-4,-0.36
12,paper,paper,0,3,2,7,0.25,0.17,0.58,-4,-0.33
13,rock,scissors,-1,3,2,8,0.23,0.15,0.62,-5,-0.38
14,rock,scissors,-1,3,2,9,0.21,0.14,0.64,-6,-0.43
15,scissors,rock,1,4,2,9,0.27,0.13,0.6,-5,-0.33
16,paper,rock,-1,4,2,10,0.25,0.12,0.62,-6,-0.38
17,scissors,rock,1,5,2,10,0.29,0.12,0.59,-5,-0.29
18,paper,rock,-1,5,2,11,0.28,0.11,0.61,-6,-0.33
19,paper,paper,0,5,3,11,0.26,0.16,0.58,-6,-0.32
20,scissors,rock,1,6,3,11,0.3,0.15,0.55,-5,-0.25
21,scissors,rock,1,7,3,11,0.33,0.14,0.52,-4,-0.19
22,scissors,rock,1,8,3,11,0.36,0.14,0.5,-3,-0.14
23,scissors,scissors,0,8,4,11,0.35,0.17,0.48,-3,-0.13
24,rock,rock,0,8,5,11,0.33,0.21,0.46,-3,-0.12
25,paper,paper,0,8,6,11,0.32,0.24,0.44,-3,-0.12
26,rock,paper,1,9,6,11,0.35,0.23,0.42,-2,-0.08
27,paper,paper,0,9,7,11,0.33,0.26,0.41,-2,-0.07
28,paper,paper,0,9,8,11,0.32,0.29,0.39,-2,-0.07
29,paper,paper,0,9,9,11,0.31,0.31,0.38,-2,-0.07
30,paper,rock,-1,9,9,12,0.3,0.3,0.4,-3,-0.1
31,paper,rock,-1,9,9,13,0.29,0.29,0.42,-4,-0.13
32,rock,paper,1,10,9,13,0.31,0.28,0.41,-3,-0.09
33,scissors,scissors,0,10,10,13,0.3,0.3,0.39,-3,-0.09
34,paper,rock,-1,10,10,14,0.29,0.29,0.41,-4,-0.12
35,rock,scissors,-1,10,10,15,0.29,0.29,0.43,-5,-0.14
36,scissors,rock,1,11,10,15,0.31,0.28,0.42,-4,-0.11
37,scissors,rock,1,12,10,15,0.32,0.27,0.41,-3,-0.08
38,paper,scissors,1,13,10,15,0.34,0.26,0.39,-2,-0.05
39,scissors,paper,-1,13,10,16,0.33,0.26,0.41,-3,-0.08
40,scissors,paper,-1,13,10,17,0.33,0.25,0.42,-4,-0.1
41,rock,scissors,-1,13,10,18,0.32,0.24,0.44,-5,-0.12
42,rock,scissors,-1,13,10,19,0.31,0.24,0.45,-6,-0.14
43,paper,scissors,1,14,10,19,0.33,0.23,0.44,-5,-0.12
44,rock,paper,1,15,10,19,0.34,0.23,0.43,-4,-0.09
45,rock,scissors,-1,15,10,20,0.33,0.22,0.44,-5,-0.11
46,paper,paper,0,15,11,20,0.33,0.24,0.43,-5,-0.11
47,scissors,rock,1,16,11,20,0.34,0.23,0.43,-4,-0.09
48,paper,scissors,1,17,11,20,0.35,0.23,0.42,-3,-0.06
49,paper,scissors,1,18,11,20,0.37,0.22,0.41,-2,-0.04
50,paper,paper,0,18,12,20,0.36,0.24,0.4,-2,-0.04
51,rock,scissors,-1,18,12,21,0.35,0.24,0.41,-3,-0.06
52,scissors,rock,1,19,12,21,0.37,0.23,0.4,-2,-0.04
53,rock,scissors,-1,19,12,22,0.36,0.23,0.42,-3,-0.06
54,rock,rock,0,19,13,22,0.35,0.24,0.41,-3,-0.06
55,rock,paper,1,20,13,22,0.36,0.24,0.4,-2,-0.04
56,rock,scissors,-1,20,13,23,0.36,0.23,0.41,-3,-0.05
