n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,rock,rock,0,0,1,0,0.0,1.0,0.0,0,0.0
2,scissors,paper,-1,0,1,1,0.0,0.5,0.5,-1,-0.5
3,rock,rock,0,0,2,1,0.0,0.67,0.33,-1,-0.33
4,rock,rock,0,0,3,1,0.0,0.75,0.25,-1,-0.25
5,rock,rock,0,0,4,1,0.0,0.8,0.2,-1,-0.2
6,rock,paper,1,1,4,1,0.17,0.67,0.17,0,0.0
7,scissors,paper,-1,1,4,2,0.14,0.57,0.29,-1,-0.14
8,scissors,paper,-1,1,4,3,0.12,0.5,0.38,-2,-0.25
9,scissors,rock,1,2,4,3,0.22,0.44,0.33,-1,-0.11
10,scissors,rock,1,3,4,3,0.3,0.4,0.3,0,0.0
11,scissors,paper,-1,3,4,4,0.27,0.36,0.36,-1,-0.09
12,scissors,rock,1,4,4,4,0.33,0.33,0.33,0,0.0
13,scissors,rock,1,5,4,4,0.38,0.31,0.31,1,0.08
14,scissors,rock,1,6,4,4,0.43,0.29,0.29,2,0.14
15,scissors,rock,1,7,4,4,0.47,0.27,0.27,3,0.2
16,rock,paper,1,8,4,4,0.5,0.25,0.25,4,0.25
17,scissors,rock,1,9,4,4,0.53,0.24,0.24,5,0.29
18,rock,paper,1,10,4,4,0.56,0.22,0.22,6,0.33
19,scissors,rock,1,11,4,4,0.58,0.21,0.21,7,0.37
20,rock,rock,0,11,5,4,0.55,0.25,0.2,7,0.35
21,rock,paper,1,12,5,4,0.57,0.24,0.19,8,0.38
22,scissors,rock,1,13,5,4,0.59,0.23,0.18,9,0.41
23,scissors,rock,1,14,5,4,0.61,0.22,0.17,10,0.43
24,scissors,rock,1,15,5,4,0.62,0.21,0.17,11,0.46
25,rock,rock,0,15,6,4,0.6,0.24,0.16,11,0.44
26,scissors,rock,1,16,6,4,0.62,0.23,0.15,12,0.46
27,scissors,rock,1,17,6,4,0.63,0.22,0.15,13,0.48
28,scissors,rock,1,18,6,4,0.64,0.21,0.14,14,0.5
29,scissors,rock,1,19,6,4,0.66,0.21,0.14,15,0.52
30,rock,rock,0,19,7,4,0.63,0.23,0.13,15,0.5
31,rock,rock,0,19,8,4,0.61,0.26,0.13,15,0.48
32,scissors,rock,1,20,8,4,0.62,0.25,0.12,16,0.5
33,rock,rock,0,20,9,4,0.61,0.27,0.12,16,0.48
34,scissors,rock,1,21,9,4,0.62,0.26,0.12,17,0.5
35,scissors,rock,1,22,9,4,0.63,0.26,0.11,18,0.51
