n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,rock,1,1,0,0,1.0,0.0,0.0,1,1.0
2,scissors,paper,-1,1,0,1,0.5,0.0,0.5,0,0.0
3,scissors,paper,-1,1,0,2,0.33,0.0,0.67,-1,-0.33
4,scissors,rock,1,2,0,2,0.5,0.0,0.5,0,0.0
5,scissors,paper,-1,2,0,3,0.4,0.0,0.6,-1,-0.2
6,scissors,rock,1,3,0,3,0.5,0.0,0.5,0,0.0
7,scissors,rock,1,4,0,3,0.57,0.0,0.43,1,0.14
8,scissors,paper,-1,4,0,4,0.5,0.0,0.5,0,0.0
9,rock,rock,0,4,1,4,0.44,0.11,0.44,0,0.0
10,scissors,rock,1,5,1,4,0.5,0.1,0.4,1,0.1
11,rock,rock,0,5,2,4,0.45,0.18,0.36,1,0.09
12,rock,paper,1,6,2,4,0.5,0.17,0.33,2,0.17
13,scissors,paper,-1,6,2,5,0.46,0.15,0.38,1,0.08
14,scissors,paper,-1,6,2,6,0.43,0.14,0.43,0,0.0
15,scissors,rock,1,7,2,6,0.47,0.13,0.4,1,0.07
16,scissors,rock,1,8,2,6,0.5,0.12,0.38,2,0.12
17,rock,paper,1,9,2,6,0.53,0.12,0.35,3,0.18
18,scissors,paper,-1,9,2,7,0.5,0.11,0.39,2,0.11
19,scissors,paper,-1,9,2,8,0.47,0.11,0.42,1,0.05
20,scissors,rock,1,10,2,8,0.5,0.1,0.4,2,0.1
21,scissors,paper,-1,10,2,9,0.48,0.1,0.43,1,0.05
22,scissors,paper,-1,10,2,10,0.45,0.09,0.45,0,0.0
23,scissors,rock,1,11,2,10,0.48,0.09,0.43,1,0.04
24,scissors,paper,-1,11,2,11,0.46,0.08,0.46,0,0.0
25,scissors,paper,-1,11,2,12,0.44,0.08,0.48,-1,-0.04
26,scissors,paper,-1,11,2,13,0.42,0.08,0.5,-2,-0.08
27,scissors,rock,1,12,2,13,0.44,0.07,0.48,-1,-0.04
28,scissors,rock,1,13,2,13,0.46,0.07,0.46,0,0.0
29,rock,rock,0,13,3,13,0.45,0.1,0.45,0,0.0
30,scissors,rock,1,14,3,13,0.47,0.1,0.43,1,0.03
31,scissors,paper,-1,14,3,14,0.45,0.1,0.45,0,0.0
32,scissors,rock,1,15,3,14,0.47,0.09,0.44,1,0.03
33,scissors,paper,-1,15,3,15,0.45,0.09,0.45,0,0.0
34,scissors,rock,1,16,3,15,0.47,0.09,0.44,1,0.03
35,rock,rock,0,16,4,15,0.46,0.11,0.43,1,0.03
36,rock,rock,0,16,5,15,0.44,0.14,0.42,1,0.03
37,rock,rock,0,16,6,15,0.43,0.16,0.41,1,0.03
38,scissors,rock,1,17,6,15,0.45,0.16,0.39,2,0.05
39,rock,rock,0,17,7,15,0.44,0.18,0.38,2,0.05
40,scissors,rock,1,18,7,15,0.45,0.17,0.38,3,0.07
41,scissors,rock,1,19,7,15,0.46,0.17,0.37,4,0.1
42,scissors,rock,1,20,7,15,0.48,0.17,0.36,5,0.12
43,scissors,paper,-1,20,7,16,0.47,0.16,0.37,4,0.09
44,rock,rock,0,20,8,16,0.45,0.18,0.36,4,0.09
45,scissors,rock,1,21,8,16,0.47,0.18,0.36,5,0.11
46,scissors,rock,1,22,8,16,0.48,0.17,0.35,6,0.13
47,rock,paper,1,23,8,16,0.49,0.17,0.34,7,0.15
