n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,rock,scissors,-1,0,0,1,0.0,0.0,1.0,-1,-1.0
2,rock,scissors,-1,0,0,2,0.0,0.0,1.0,-2,-1.0
3,scissors,paper,-1,0,0,3,0.0,0.0,1.0,-3,-1.0
4,rock,rock,0,0,1,3,0.0,0.25,0.75,-3,-0.75
5,paper,paper,0,0,2,3,0.0,0.4,0.6,-3,-0.6
6,paper,scissors,1,1,2,3,0.17,0.33,0.5,-2,-0.33
7,rock,rock,0,1,3,3,0.14,0.43,0.43,-2,-0.29
8,paper,scissors,1,2,3,3,0.25,0.38,0.38,-1,-0.12
9,rock,paper,1,3,3,3,0.33,0.33,0.33,0,0.0
10,rock,scissors,-1,3,3,4,0.3,0.3,0.4,-1,-0.1
11,scissors,paper,-1,3,3,5,0.27,0.27,0.45,-2,-0.18
12,paper,scissors,1,4,3,5,0.33,0.25,0.42,-1,-0.08
13,paper,rock,-1,4,3,6,0.31,0.23,0.46,-2,-0.15
14,rock,scissors,-1,4,3,7,0.29,0.21,0.5,-3,-0.21
15,rock,scissors,-1,4,3,8,0.27,0.2,0.53,-4,-0.27
16,rock,rock,0,4,4,8,0.25,0.25,0.5,-4,-0.25
17,paper,scissors,1,5,4,8,0.29,0.24,0.47,-3,-0.18
18,paper,paper,0,5,5,8,0.28,0.28,0.44,-3,-0.17
19,rock,rock,0,5,6,8,0.26,0.32,0.42,-3,-0.16
20,rock,scissors,-1,5,6,9,0.25,0.3,0.45,-4,-0.2
21,rock,paper,1,6,6,9,0.29,0.29,0.43,-3,-0.14
22,paper,scissors,1,7,6,9,0.32,0.27,0.41,-2,-0.09
23,paper,paper,0,7,7,9,0.3,0.3,0.39,-2,-0.09
24,paper,scissors,1,8,7,9,0.33,0.29,0.38,-1,-0.04
25,paper,scissors,1,9,7,9,0.36,0.28,0.36,0,0.0
26,paper,scissors,1,10,7,9,0.38,0.27,0.35,1,0.04
27,paper,rock,-1,10,7,10,0.37,0.26,0.37,0,0.0
28,paper,scissors,1,11,7,10,0.39,0.25,0.36,1,0.04
29,paper,scissors,1,12,7,10,0.41,0.24,0.34,2,0.07
30,paper,paper,0,12,8,10,0.4,0.27,0.33,2,0.07
31,paper,scissors,1,13,8,10,0.42,0.26,0.32,3,0.1
32,rock,scissors,-1,13,8,11,0.41,0.25,0.34,2,0.06
33,paper,scissors,1,14,8,11,0.42,0.24,0.33,3,0.09
34,rock,paper,1,15,8,11,0.44,0.24,0.32,4,0.12
35,rock,scissors,-1,15,8,12,0.43,0.23,0.34,3,0.09
36,paper,scissors,1,16,8,12,0.44,0.22,0.33,4,0.11
37,paper,scissors,1,17,8,12,0.46,0.22,0.32,5,0.14
38,paper,rock,-1,17,8,13,0.45,0.21,0.34,4,0.11
39,rock,paper,1,18,8,13,0.46,0.21,0.33,5,0.13
40,paper,paper,0,18,9,13,0.45,0.23,0.33,5,0.12
41,rock,rock,0,18,10,13,0.44,0.24,0.32,5,0.12
42,paper,scissors,1,19,10,13,0.45,0.24,0.31,6,0.14
43,paper,paper,0,19,11,13,0.44,0.26,0.3,6,0.14
44,scissors,rock,1,20,11,13,0.45,0.25,0.3,7,0.16
45,paper,rock,-1,20,11,14,0.44,0.24,0.31,6,0.13
46,rock,paper,1,21,11,14,0.46,0.24,0.3,7,0.15
47,paper,paper,0,21,12,14,0.45,0.26,0.3,7,0.15
48,scissors,scissors,0,21,13,14,0.44,0.27,0.29,7,0.15
49,paper,paper,0,21,14,14,0.43,0.29,0.29,7,0.14
50,paper,scissors,1,22,14,14,0.44,0.28,0.28,8,0.16
51,paper,rock,-1,22,14,15,0.43,0.27,0.29,7,0.14
