n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,scissors,paper,-1,0,0,1,0.0,0.0,1.0,-1,-1.0
2,rock,paper,1,1,0,1,0.5,0.0,0.5,0,0.0
3,rock,paper,1,2,0,1,0.67,0.0,0.33,1,0.33
4,rock,paper,1,3,0,1,0.75,0.0,0.25,2,0.5
5,rock,rock,0,3,1,1,0.6,0.2,0.2,2,0.4
6,rock,paper,1,4,1,1,0.67,0.17,0.17,3,0.5
7,rock,paper,1,5,1,1,0.71,0.14,0.14,4,0.57
8,rock,paper,1,6,1,1,0.75,0.12,0.12,5,0.62
9,rock,paper,1,7,1,1,0.78,0.11,0.11,6,0.67
10,rock,rock,0,7,2,1,0.7,0.2,0.1,6,0.6
11,scissors,paper,-1,7,2,2,0.64,0.18,0.18,5,0.45
12,rock,paper,1,8,2,2,0.67,0.17,0.17,6,0.5
13,rock,paper,1,9,2,2,0.69,0.15,0.15,7,0.54
14,rock,paper,1,10,2,2,0.71,0.14,0.14,8,0.57
15,rock,rock,0,10,3,2,0.67,0.2,0.13,8,0.53
16,rock,rock,0,10,4,2,0.62,0.25,0.12,8,0.5
17,scissors,paper,-1,10,4,3,0.59,0.24,0.18,7,0.41
18,scissors,paper,-1,10,4,4,0.56,0.22,0.22,6,0.33
19,rock,rock,0,10,5,4,0.53,0.26,0.21,6,0.32
20,rock,paper,1,11,5,4,0.55,0.25,0.2,7,0.35
21,rock,paper,1,12,5,4,0.57,0.24,0.19,8,0.38
22,rock,paper,1,13,5,4,0.59,0.23,0.18,9,0.41
23,rock,paper,1,14,5,4,0.61,0.22,0.17,10,0.43
24,rock,paper,1,15,5,4,0.62,0.21,0.17,11,0.46
25,rock,paper,1,16,5,4,0.64,0.2,0.16,12,0.48
26,rock,paper,1,17,5,4,0.65,0.19,0.15,13,0.5
27,rock,paper,1,18,5,4,0.67,0.19,0.15,14,0.52
28,rock,paper,1,19,5,4,0.68,0.18,0.14,15,0.54
29,rock,paper,1,20,5,4,0.69,0.17,0.14,16,0.55
30,rock,paper,1,21,5,4,0.7,0.17,0.13,17,0.57
31,rock,paper,1,22,5,4,0.71,0.16,0.13,18,0.58
32,rock,rock,0,22,6,4,0.69,0.19,0.12,18,0.56
33,scissors,paper,-1,22,6,5,0.67,0.18,0.15,17,0.52
34,rock,paper,1,23,6,5,0.68,0.18,0.15,18,0.53
35,rock,paper,1,24,6,5,0.69,0.17,0.14,19,0.54
36,rock,paper,1,25,6,5,0.69,0.17,0.14,20,0.56
37,rock,paper,1,26,6,5,0.7,0.16,0.14,21,0.57
38,rock,paper,1,27,6,5,0.71,0.16,0.13,22,0.58
39,rock,rock,0,27,7,5,0.69,0.18,0.13,22,0.56
40,rock,rock,0,27,8,5,0.68,0.2,0.12,22,0.55
41,rock,rock,0,27,9,5,0.66,0.22,0.12,22,0.54
42,rock,paper,1,28,9,5,0.67,0.21,0.12,23,0.55
43,rock,paper,1,29,9,5,0.67,0.21,0.12,24,0.56
44,rock,paper,1,30,9,5,0.68,0.2,0.11,25,0.57
45,rock,paper,1,31,9,5,0.69,0.2,0.11,26,0.58
46,scissors,rock,1,32,9,5,0.7,0.2,0.11,27,0.59
