n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,rock,paper,1,1,0,0,1.0,0.0,0.0,1,1.0
2,scissors,paper,-1,1,0,1,0.5,0.0,0.5,0,0.0
3,rock,paper,1,2,0,1,0.67,0.0,0.33,1,0.33
4,rock,paper,1,3,0,1,0.75,0.0,0.25,2,0.5
5,rock,paper,1,4,0,1,0.8,0.0,0.2,3,0.6
6,rock,paper,1,5,0,1,0.83,0.0,0.17,4,0.67
7,rock,paper,1,6,0,1,0.86,0.0,0.14,5,0.71
8,rock,paper,1,7,0,1,0.88,0.0,0.12,6,0.75
9,rock,paper,1,8,0,1,0.89,0.0,0.11,7,0.78
10,rock,paper,1,9,0,1,0.9,0.0,0.1,8,0.8
11,rock,paper,1,10,0,1,0.91,0.0,0.09,9,0.82
12,rock,paper,1,11,0,1,0.92,0.0,0.08,10,0.83
13,scissors,paper,-1,11,0,2,0.85,0.0,0.15,9,0.69
14,rock,paper,1,12,0,2,0.86,0.0,0.14,10,0.71
15,rock,paper,1,13,0,2,0.87,0.0,0.13,11,0.73
16,rock,paper,1,14,0,2,0.88,0.0,0.12,12,0.75
17,scissors,paper,-1,14,0,3,0.82,0.0,0.18,11,0.65
18,rock,paper,1,15,0,3,0.83,0.0,0.17,12,0.67
19,rock,paper,1,16,0,3,0.84,0.0,0.16,13,0.68
20,rock,paper,1,17,0,3,0.85,0.0,0.15,14,0.7
21,rock,paper,1,18,0,3,0.86,0.0,0.14,15,0.71
22,rock,paper,1,19,0,3,0.86,0.0,0.14,16,0.73
23,rock,paper,1,20,0,3,0.87,0.0,0.13,17,0.74
24,rock,rock,0,20,1,3,0.83,0.04,0.12,17,0.71
25,rock,paper,1,21,1,3,0.84,0.04,0.12,18,0.72
26,rock,paper,1,22,1,3,0.85,0.04,0.12,19,0.73
27,rock,paper,1,23,1,3,0.85,0.04,0.11,20,0.74
28,rock,rock,0,23,2,3,0.82,0.07,0.11,20,0.71
