n,Computer,Player,Result,Won,Tied,Lost,Won%,Tied%,Lost%,delta,delta%
1,paper,scissors,1,1,0,0,1.0,0.0,0.0,1,1.0
2,paper,scissors,1,2,0,0,1.0,0.0,0.0,2,1.0
3,scissors,scissors,0,2,1,0,0.67,0.33,0.0,2,0.67
4,rock,scissors,-1,2,1,1,0.5,0.25,0.25,1,0.25
5,scissors,scissors,0,2,2,1,0.4,0.4,0.2,1,0.2
6,scissors,scissors,0,2,3,1,0.33,0.5,0.17,1,0.17
7,paper,scissors,1,3,3,1,0.43,0.43,0.14,2,0.29
8,paper,scissors,1,4,3,1,0.5,0.38,0.12,3,0.38
9,paper,scissors,1,5,3,1,0.56,0.33,0.11,4,0.44
10,paper,scissors,1,6,3,1,0.6,0.3,0.1,5,0.5
11,scissors,scissors,0,6,4,1,0.55,0.36,0.09,5,0.45
12,rock,scissors,-1,6,4,2,0.5,0.33,0.17,4,0.33
13,paper,scissors,1,7,4,2,0.54,0.31,0.15,5,0.38
14,rock,scissors,-1,7,4,3,0.5,0.29,0.21,4,0.29
15,paper,scissors,1,8,4,3,0.53,0.27,0.2,5,0.33
16,rock,scissors,-1,8,4,4,0.5,0.25,0.25,4,0.25
17,paper,scissors,1,9,4,4,0.53,0.24,0.24,5,0.29
18,rock,scissors,-1,9,4,5,0.5,0.22,0.28,4,0.22
19,paper,scissors,1,10,4,5,0.53,0.21,0.26,5,0.26
20,scissors,scissors,0,10,5,5,0.5,0.25,0.25,5,0.25
21,paper,scissors,1,11,5,5,0.52,0.24,0.24,6,0.29
22,paper,scissors,1,12,5,5,0.55,0.23,0.23,7,0.32
23,rock,scissors,-1,12,5,6,0.52,0.22,0.26,6,0.26
24,paper,scissors,1,13,5,6,0.54,0.21,0.25,7,0.29
25,paper,scissors,1,14,5,6,0.56,0.2,0.24,8,0.32
26,paper,scissors,1,15,5,6,0.58,0.19,0.23,9,0.35
27,rock,scissors,-1,15,5,7,0.56,0.19,0.26,8,0.3
28,rock,scissors,-1,15,5,8,0.54,0.18,0.29,7,0.25
29,paper,scissors,1,16,5,8,0.55,0.17,0.28,8,0.28
30,rock,scissors,-1,16,5,9,0.53,0.17,0.3,7,0.23
31,paper,scissors,1,17,5,9,0.55,0.16,0.29,8,0.26
32,paper,scissors,1,18,5,9,0.56,0.16,0.28,9,0.28
